pan,tilt,ir,dist
60.0,51.0,40.0,69.26713678336
62.0,51.0,81.0,49.64443056266823
64.0,51.0,40.0,69.26713678336
66.0,51.0,34.0,72.85350000305839
68.0,51.0,53.0,62.170910275883664
70.0,51.0,72.0,53.29609218457108
72.0,51.0,75.0,52.04190473828125
74.0,51.0,81.0,49.64443056266823
76.0,51.0,81.0,49.64443056266823
78.0,51.0,61.0,58.2300737542174
80.0,51.0,31.0,74.72482318540713
82.0,51.0,42.0,68.11665263391413
84.0,51.0,60.0,58.70589196864
86.0,51.0,23.0,79.9813572042446
88.0,51.0,50.0,63.730105124999994
90.0,51.0,41.0,68.68913646599376
92.0,51.0,29.0,76.00216327206377
94.0,51.0,36.0,71.63519866057585
96.0,51.0,37.0,71.0346838997223
98.0,51.0,29.0,76.00216327206377
100.0,51.0,36.0,71.63519866057585
102.0,51.0,7.0,91.74109455276806
104.0,51.0,46.0,65.88099883757137
106.0,51.0,35.0,72.24145541017124
108.0,51.0,43.0,67.54964093531305
110.0,51.0,52.0,62.68558578781204
112.0,51.0,68.0,55.0280701180926
114.0,51.0,90.0,46.31112114436
116.0,51.0,54.0,61.66123523711983
118.0,51.0,55.0,61.15651924842625
120.0,51.0,39.0,69.8506981865008
119.0,52.0,27.0,77.3037768451805
117.0,52.0,28.0,76.64991208492013
115.0,52.0,32.0,74.09513740234262
113.0,52.0,44.0,66.9880572663515
111.0,52.0,30.0,75.36048276652001
109.0,52.0,54.0,61.66123523711983
107.0,52.0,35.0,72.24145541017124
105.0,52.0,27.0,77.3037768451805
103.0,52.0,31.0,74.72482318540713
101.0,52.0,31.0,74.72482318540713
99.0,52.0,44.0,66.9880572663515
97.0,52.0,43.0,67.54964093531305
95.0,52.0,9.0,90.17503736040335
93.0,52.0,62.0,57.75893129269237
91.0,52.0,63.0,57.29242505657988
89.0,52.0,55.0,61.15651924842625
87.0,52.0,55.0,61.15651924842625
85.0,52.0,57.0,60.16179992535716
83.0,52.0,46.0,65.88099883757137
81.0,52.0,33.0,73.47137854673201
79.0,52.0,28.0,76.64991208492013
77.0,52.0,32.0,74.09513740234262
75.0,52.0,43.0,67.54964093531305
73.0,52.0,35.0,72.24145541017124
71.0,52.0,43.0,67.54964093531305
69.0,52.0,32.0,74.09513740234262
67.0,52.0,27.0,77.3037768451805
65.0,52.0,15.0,85.64489305551625
63.0,52.0,43.0,67.54964093531305
61.0,52.0,31.0,74.72482318540713
60.0,53.0,43.0,67.54964093531305
62.0,53.0,24.0,79.30254708437646
64.0,53.0,26.0,77.96380545085714
66.0,53.0,28.0,76.64991208492013
68.0,53.0,79.0,50.427495265920875
70.0,53.0,70.0,54.153424315479995
72.0,53.0,62.0,57.75893129269237
74.0,53.0,47.0,65.33543710352254
76.0,53.0,46.0,65.88099883757137
78.0,53.0,21.0,81.35810073492532
80.0,53.0,32.0,74.09513740234262
82.0,53.0,4.0,94.14414269819022
84.0,53.0,50.0,63.730105124999994
86.0,53.0,66.0,55.9203319278888
88.0,53.0,39.0,69.8506981865008
90.0,53.0,39.0,69.8506981865008
92.0,53.0,30.0,75.36048276652001
94.0,53.0,5.0,93.33586027273876
96.0,53.0,46.0,65.88099883757137
98.0,53.0,50.0,63.730105124999994
100.0,53.0,7.0,91.74109455276806
102.0,53.0,30.0,75.36048276652001
104.0,53.0,49.0,64.26003300004103
106.0,53.0,80.0,50.03398090752
108.0,53.0,90.0,46.31112114436
110.0,53.0,42.0,68.11665263391413
112.0,53.0,36.0,71.63519866057585
114.0,53.0,45.0,66.43185777044876
116.0,53.0,30.0,75.36048276652001
118.0,53.0,51.0,63.20530343614917
120.0,53.0,40.0,69.26713678336
119.0,54.0,24.0,79.30254708437646
117.0,54.0,35.0,72.24145541017124
115.0,54.0,31.0,74.72482318540713
113.0,54.0,57.0,60.16179992535716
111.0,54.0,57.0,60.16179992535716
109.0,54.0,23.0,79.9813572042446
107.0,54.0,27.0,77.3037768451805
105.0,54.0,39.0,69.8506981865008
103.0,54.0,43.0,67.54964093531305
101.0,54.0,39.0,69.8506981865008
99.0,54.0,48.0,64.79512944923115
97.0,54.0,58.0,59.67171493914508
95.0,54.0,67.0,55.471979982962175
93.0,54.0,159.0,28.91121059425866
91.0,54.0,80.0,50.03398090752
89.0,54.0,22.0,80.6665253550015
87.0,54.0,21.0,81.35810073492532
85.0,54.0,79.0,50.427495265920875
